"Date","Open","High","Low","Close","Volume"
"11/07/2025","184.9","188.32","178.91","188.15","264,942,300"
"11/06/2025","196.42","197.62","186.38","188.08","223,029,800"
"11/05/2025","198.77","202.92","194.65","195.21","171,350,300"
"11/04/2025","203","203.9699","197.93","198.69","188,919,300"
"11/03/2025","208.08","211.335","205.56","206.88","180,267,300"
"10/31/2025","206.45","207.97","202.07","202.49","179,802,200"
"10/30/2025","205.15","206.16","201.41","202.89","178,864,400"
"10/29/2025","207.98","212.1899","204.775","207.04","308,829,600"
"10/28/2025","193.05","203.15","191.91","201.03","297,986,200"
"10/27/2025","189.99","192","188.4318","191.49","153,452,700"
"10/24/2025","183.835","187.47","183.5","186.26","131,296,700"
"10/23/2025","180.42","183.03","179.7901","182.16","111,363,700"
"10/22/2025","181.14","183.44","176.76","180.28","162,249,600"
"10/21/2025","182.785","182.785","179.8","181.16","124,240,200"
"10/20/2025","183.13","185.2","181.73","182.64","128,544,700"
"10/17/2025","180.18","184.1","179.75","183.22","173,135,200"
"10/16/2025","182.23","183.28","179.77","181.81","179,723,300"
"10/15/2025","184.8","184.87","177.29","179.83","214,450,500"
"10/14/2025","184.77","184.8","179.7","180.03","205,641,400"
"10/13/2025","187.965","190.1099","185.96","188.32","153,482,800"
"10/10/2025","193.505","195.62","182.05","183.16","268,774,400"
"10/09/2025","192.225","195.3","191.06","192.57","182,997,200"
"10/08/2025","186.57","189.6","186.54","189.11","130,168,900"
"10/07/2025","186.23","189.06","184","185.04","140,088,000"
"10/06/2025","185.5","187.23","183.33","185.54","157,678,100"
"10/03/2025","189.19","190.36","185.38","187.62","137,596,900"
"10/02/2025","189.6","191.05","188.06","188.89","136,805,800"
"10/01/2025","185.24","188.14","183.9","187.24","173,844,900"
"09/30/2025","182.08","187.35","181.48","186.58","236,981,000"
"09/29/2025","180.425","184","180.32","181.85","193,063,500"
"09/26/2025","178.17","179.77","174.93","178.19","148,573,700"
"09/25/2025","174.48","180.26","173.125","177.69","191,586,700"
"09/24/2025","179.77","179.78","175.4","176.97","143,564,100"
"09/23/2025","181.97","182.42","176.21","178.43","192,559,600"
"09/22/2025","175.3","184.55","174.7053","183.61","269,637,000"
"09/19/2025","175.77","178.08","175.18","176.67","237,182,100"
"09/18/2025","173.98","177.1","172.96","176.24","191,763,300"
"09/17/2025","172.64","173.2","168.41","170.29","211,843,800"
"09/16/2025","177","177.5","174.38","174.88","140,737,800"
"09/15/2025","175.67","178.85","174.51","177.75","147,061,600"
"09/12/2025","177.77","178.595","176.45","177.82","124,911,000"
"09/11/2025","179.68","180.28","176.48","177.17","151,159,300"
"09/10/2025","176.64","179.29","175.47","177.33","226,852,000"
"09/09/2025","169.09","170.98","166.7401","170.76","157,548,400"
"09/08/2025","167.55","170.96","167.35","168.31","163,769,100"
"09/05/2025","168.03","169.03","164.07","167.02","224,441,400"
"09/04/2025","170.57","171.86","169.41","171.66","141,670,100"
"09/03/2025","171.06","172.41","168.875","170.62","164,424,900"
"09/02/2025","170","172.379","167.22","170.78","231,164,900"
"08/29/2025","178.11","178.15","173.145","174.18","243,257,900"
"08/28/2025","180.82","184.47","176.41","180.17","281,787,800"
"08/27/2025","181.98","182.49","179.1","181.6","235,518,900"
"08/26/2025","180.055","182.39","178.81","181.77","168,688,200"
"08/25/2025","178.35","181.91","176.57","179.81","163,012,800"
"08/22/2025","172.61","178.59","171.2","177.99","172,789,400"
"08/21/2025","174.85","176.9","173.81","174.98","140,040,900"
"08/20/2025","175.165","176","168.801","175.4","215,142,700"
"08/19/2025","182.43","182.5","175.49","175.64","185,229,200"
"08/18/2025","180.6","182.9375","180.59","182.01","132,008,000"
"08/15/2025","181.88","181.9","178.0417","180.45","156,602,200"
"08/14/2025","179.75","183.02","179.46","182.02","129,554,000"
"08/13/2025","182.615","183.97","179.35","181.59","179,871,700"
"08/12/2025","182.96","184.48","179.46","183.16","145,729,200"
"08/11/2025","182.05","183.84","180.25","182.06","138,323,200"
"08/08/2025","181.55","183.3","180.4","182.7","123,396,700"
"08/07/2025","181.57","183.88","178.795","180.77","151,878,400"
"08/06/2025","176.325","179.9","176.25","179.42","137,192,300"
"08/05/2025","179.62","180.26","175.9","178.26","156,407,600"
"08/04/2025","175.16","180.2","174.52","180","148,174,600"
"08/01/2025","174.09","176.54","170.89","173.72","204,529,000"
"07/31/2025","182.9","183.3","175.93","177.87","221,685,400"
"07/30/2025","176.51","179.89","176.04","179.27","174,312,200"
"07/29/2025","177.96","179.38","175.02","175.51","154,077,500"
"07/28/2025","174.02","177","173.97","176.75","140,023,500"
"07/25/2025","173.61","174.72","172.96","173.5","122,316,800"
"07/24/2025","172.44","173.83","171.3","173.74","128,984,600"
"07/23/2025","169.53","171.26","167.97","170.78","154,082,200"
"07/22/2025","171.34","171.39","164.58","167.03","193,114,300"
"07/21/2025","172.75","173.38","171","171.38","123,126,100"
"07/18/2025","173.64","174.25","171.26","172.41","146,456,400"
"07/17/2025","172.02","174.16","170.83","173","160,841,100"
"07/16/2025","171.06","171.75","168.9","171.37","158,831,500"
"07/15/2025","171.19","172.4","169.195","170.7","230,627,400"
"07/14/2025","165.37","165.49","162.02","164.07","136,975,800"
"07/11/2025","163.715","167.89","163.47","164.92","193,633,300"
"07/10/2025","164.32","164.5","161.61","164.1","167,704,100"
"07/09/2025","161.22","164.42","161.16","162.88","183,656,400"
"07/08/2025","159.33","160.22","158.39","160","138,133,000"
"07/07/2025","158.2","159.31","157.342","158.24","140,139,000"
"07/03/2025","158.37","160.98","157.77","159.34","143,716,100"
"07/02/2025","152.98","157.6","152.97","157.25","171,224,100"
"07/01/2025","156.29","157.2","151.49","153.3","213,143,600"
"06/30/2025","158.4","158.66","155.96","157.99","194,580,300"
"06/27/2025","156.04","158.71","155.255","157.75","263,234,500"
"06/26/2025","155.975","156.715","154","155.02","198,145,700"
"06/25/2025","149.27","154.45","149.26","154.31","269,146,500"
"06/24/2025","145.56","147.96","145.5","147.9","187,566,100"
"06/23/2025","142.5","144.78","142.03","144.17","154,308,900"
"06/20/2025","145.45","146.2","142.65","143.85","242,956,200"
"06/18/2025","144.005","145.65","143.12","145.48","161,494,100"
"06/17/2025","144.49","145.22","143.78","144.12","139,108,000"
"06/16/2025","143.345","146.175","143.2001","144.69","183,133,700"
"06/13/2025","142.48","143.58","140.855","141.97","180,820,600"
"06/12/2025","141.97","145","141.85","145","162,365,000"
"06/11/2025","144.61","144.99","141.87","142.83","167,694,000"
"06/10/2025","142.69","144.29","141.525","143.96","155,881,900"
"06/09/2025","143.19","145","141.94","142.63","185,114,500"
"06/06/2025","142.51","143.27","141.51","141.72","153,986,200"
"06/05/2025","142.17","144","138.83","139.99","232,410,800"
"06/04/2025","142.19","142.39","139.545","141.92","167,120,800"
"06/03/2025","138.78","142","137.95","141.22","225,578,800"
"06/02/2025","135.49","138.12","135.4","137.38","197,663,100"
"05/30/2025","138.715","139.62","132.92","135.13","333,170,900"
"05/29/2025","142.245","143.49","137.91","139.19","370,615,200"
"05/28/2025","136.025","137.25","134.79","134.81","304,021,100"
"05/27/2025","134.15","135.66","133.31","135.5","192,953,600"
"05/23/2025","130","132.68","129.16","131.29","198,821,300"
"05/22/2025","132.23","134.25","131.55","132.83","187,344,000"
"05/21/2025","133.06","137.4","130.59","131.8","270,608,700"
"05/20/2025","134.29","134.58","132.62","134.38","161,514,200"
"05/19/2025","132.39","135.87","132.39","135.57","193,154,600"
"05/16/2025","136.22","136.35","133.46","135.4","226,542,500"
"05/15/2025","134.295","136.3","132.66","134.83","226,632,600"
"05/14/2025","133.195","135.435","131.68","135.34","281,180,800"
"05/13/2025","124.98","131.2189","124.47","129.93","330,430,100"
"05/12/2025","121.97","123","120.28","123","225,023,300"
"05/09/2025","117.35","118.23","115.21","116.65","132,972,200"
"05/08/2025","118.25","118.68","115.85","117.37","198,428,100"
"05/07/2025","113.045","117.68","112.2818","117.06","207,827,800"
"05/06/2025","111.48","114.74","110.822","113.54","158,525,600"
"05/05/2025","112.905","114.665","112.66","113.82","133,163,200"
"05/02/2025","114.18","115.4","113.37","114.5","190,194,800"
"05/01/2025","113.08","114.94","111.3","111.61","236,121,500"
"04/30/2025","104.47","108.92","104.08","108.92","235,044,600"
"04/29/2025","107.67","110.1999","107.44","109.02","170,444,300"
"04/28/2025","109.69","110.3699","106.02","108.73","207,708,500"
"04/25/2025","106.85","111.92","105.73","111.01","251,064,700"
"04/24/2025","103.475","106.54","103.11","106.43","220,815,000"
"04/23/2025","104.52","104.8","102.02","102.71","247,526,000"
"04/22/2025","98.78","99.811","97.28","98.89","241,004,800"
"04/21/2025","98.77","99.44","95.04","96.91","288,501,100"
"04/17/2025","104.45","104.47","100.05","101.49","292,517,500"
"04/16/2025","104.55","106.79","100.45","104.49","397,016,900"
"04/15/2025","110.97","113.615","110.5","112.2","228,966,900"
"04/14/2025","114.11","114.29","109.07","110.71","264,705,000"
"04/11/2025","108.5","111.5499","107.48","110.93","313,417,300"
"04/10/2025","109.37","110.86","99.15","107.57","437,812,400"
"04/09/2025","98.89","115.1","97.5301","114.33","612,918,300"
"04/08/2025","103.805","105.85","94.46","96.3","476,243,400"
"04/07/2025","87.46","101.75","86.62","97.64","611,041,300"
"04/04/2025","98.91","100.13","92.11","94.31","532,273,800"
"04/03/2025","103.51","105.63","101.6","101.8","338,769,400"
"04/02/2025","107.29","111.98","106.79","110.42","220,601,200"
"04/01/2025","108.515","110.2","106.47","110.15","222,614,000"
"03/31/2025","105.13","110.955","103.65","108.38","299,212,700"
"03/28/2025","111.485","112.87","109.0701","109.67","229,872,500"
"03/27/2025","111.35","114.45","110.66","111.43","236,902,100"
"03/26/2025","118.73","118.84","112.71","113.76","296,431,700"
"03/25/2025","120.545","121.29","118.92","120.69","167,447,200"
"03/24/2025","119.88","122.22","119.34","121.41","228,452,500"
"03/21/2025","116.94","117.99","115.42","117.7","266,498,500"
"03/20/2025","116.55","120.2","116.47","118.53","248,829,700"
"03/19/2025","117.27","120.445","115.68","117.52","273,426,200"
"03/18/2025","118","119.02","114.54","115.43","299,686,900"
"03/17/2025","122.74","122.89","118.03","119.53","255,501,500"
"03/14/2025","118.61","121.88","118.15","121.67","277,593,500"
"03/13/2025","117.03","117.76","113.79","115.58","299,033,100"
"03/12/2025","114.12","116.76","112.88","115.74","323,857,500"
"03/11/2025","106.99","112.236","104.77","108.76","354,865,700"
"03/10/2025","109.9","111.85","105.46","106.98","366,487,400"
"03/07/2025","111.25","113.48","107.56","112.69","341,755,500"
"03/06/2025","113.53","115.35","110.22","110.57","321,181,900"
"03/05/2025","117.58","118.2781","114.51","117.3","284,337,900"
"03/04/2025","110.645","119.31","110.11","115.99","398,163,300"
"03/03/2025","123.51","123.7","112.28","114.06","411,381,400"
"02/28/2025","118.02","125.09","116.4","124.92","389,091,100"
"02/27/2025","135","135.01","120.01","120.15","443,175,800"
"02/26/2025","129.985","133.73","128.49","131.28","322,553,800"
"02/25/2025","129.98","130.2","124.44","126.63","271,428,700"
"02/24/2025","136.56","138.59","130.08","130.28","251,381,100"
"02/21/2025","140.04","141.46","134.03","134.43","228,217,600"
"02/20/2025","140.03","140.66","136.7901","140.11","143,903,600"
"02/19/2025","139.51","141.36","137.22","139.23","167,536,000"
"02/18/2025","141.27","143.44","137.925","139.4","219,176,600"
"02/14/2025","136.48","139.25","135.5","138.85","195,479,600"
"02/13/2025","131.555","136.5","131.17","135.29","197,430,000"
"02/12/2025","130.02","132.24","129.08","131.14","160,278,600"
"02/11/2025","132.58","134.48","131.02","132.8","178,902,400"
"02/10/2025","130.09","135","129.96","133.57","216,989,100"
"02/07/2025","129.22","130.37","125","129.84","228,186,300"
"02/06/2025","127.42","128.77","125.21","128.68","251,483,600"
"02/05/2025","121.76","125","120.76","124.83","263,110,600"
