"Date","Open","High","Low","Close","Volume"
"11/17/2025","398.74","423.96","398.74","406.35","83,667,584"
"11/14/2025","386.3","412.19","382.78","404.35","105,506,700"
"11/13/2025","423.13","424.5","396.34","401.99","118,948,000"
"11/12/2025","442.15","442.329","426.56","430.6","58,513,520"
"11/11/2025","439.4","442.49","432.36","439.62","60,533,240"
"11/10/2025","439.6","449.6715","433.36","445.23","76,515,910"
"11/07/2025","437.92","439.36","421.88","429.52","103,471,500"
"11/06/2025","461.96","467.45","435.09","445.91","109,622,900"
"11/05/2025","452.05","466.3299","440.71","462.07","85,573,020"
"11/04/2025","454.46","460.22","443.6","444.26","87,756,640"
"11/03/2025","455.99","474.07","453.8","468.37","84,595,240"
"10/31/2025","446.75","458","443.6855","456.56","83,135,790"
"10/30/2025","451.05","455.0607","439.61","440.1","72,447,940"
"10/29/2025","462.5","465.7","452.65","461.51","67,983,540"
"10/28/2025","454.775","467","451.6","460.55","80,185,670"
"10/27/2025","439.98","460.16","438.69","452.42","105,867,500"
"10/24/2025","446.83","451.68","430.17","433.72","94,727,770"
"10/23/2025","420","449.3999","413.9","448.98","126,709,800"
"10/22/2025","443.45","445.539","429","438.97","84,023,460"
"10/21/2025","445.755","449.3","442.05","442.6","54,412,170"
"10/20/2025","443.865","449.8","440.61","447.43","63,718,970"
"10/17/2025","425.5","441.4558","423.6","439.31","89,331,580"
"10/16/2025","434.73","439.35","421.3101","428.75","77,189,890"
"10/15/2025","434.9","440.51","426.3301","435.15","71,558,190"
"10/14/2025","426.79","434.2","417.86","429.24","72,669,440"
"10/13/2025","423.53","436.89","419.7","435.9","79,552,790"
"10/10/2025","436.54","443.13","411.45","413.49","112,107,900"
"10/09/2025","431.81","436.35","426.18","435.54","69,339,930"
"10/08/2025","437.57","441.33","425.23","438.69","71,192,130"
"10/07/2025","447.82","452.68","432.4501","433.09","102,296,100"
"10/06/2025","440.75","453.55","436.69","453.25","85,324,880"
"10/03/2025","443.285","446.77","416.575","429.83","133,188,200"
"10/02/2025","470.54","470.75","435.57","436","137,009,000"
"10/01/2025","443.8","462.29","440.75","459.46","98,122,290"
"09/30/2025","441.52","445","433.12","444.72","74,357,960"
"09/29/2025","444.35","450.98","439.5","443.21","79,491,510"
"09/26/2025","428.3","440.47","421.02","440.4","101,628,200"
"09/25/2025","435.24","435.35","419.08","423.39","96,746,430"
"09/24/2025","429.83","444.21","429.0301","442.79","93,133,570"
"09/23/2025","439.88","440.97","423.72","425.85","83,422,690"
"09/22/2025","431.11","444.98","429.13","434.21","97,108,780"
"09/19/2025","421.82","429.47","421.72","426.07","93,131,030"
"09/18/2025","428.865","432.2199","416.56","416.85","90,454,510"
"09/17/2025","415.75","428.3121","409.67","425.86","106,133,500"
"09/16/2025","414.495","423.25","411.43","421.62","104,285,700"
"09/15/2025","423.13","425.7","402.43","410.04","163,823,700"
"09/12/2025","370.94","396.6899","370.24","395.94","168,156,400"
"09/11/2025","350.17","368.99","347.6","368.81","103,756,000"
"09/10/2025","350.55","356.33","346.07","347.79","72,121,680"
"09/09/2025","348.44","350.77","343.82","346.97","53,815,990"
"09/08/2025","354.64","358.44","344.84","346.4","75,208,290"
"09/05/2025","348","355.87","344.6801","350.84","108,989,800"
"09/04/2025","336.15","338.89","331.48","338.53","60,711,030"
"09/03/2025","335.2","343.33","328.51","334.09","88,733,290"
"09/02/2025","328.23","333.33","325.6","329.36","58,391,950"
"08/29/2025","347.23","348.7499","331.7","333.87","81,145,660"
"08/28/2025","350.91","353.55","340.26","345.98","67,903,220"
"08/27/2025","351.94","355.39","349.156","349.6","65,519,010"
"08/26/2025","344.93","351.9","343.72","351.67","76,651,550"
"08/25/2025","338.9","349.53","335.03","346.6","86,670,040"
"08/22/2025","321.66","340.25","319.69","340.01","94,016,350"
"08/21/2025","322.08","324.9","318.68","320.11","55,744,450"
"08/20/2025","329.22","331.37","314.6","323.9","77,481,770"
"08/19/2025","335.79","340.55","327.85","329.31","75,956,000"
"08/18/2025","329.62","336.27","329.59","335.16","56,956,550"
"08/15/2025","337.655","339.3","327.02","330.56","74,319,790"
"08/14/2025","335.76","340.4699","330.4","335.58","75,000,660"
"08/13/2025","341.5","348.98","338.2","339.38","67,838,890"
"08/12/2025","345","345.26","332.94","340.84","80,690,110"
"08/11/2025","335","346.64","334.15","339.03","105,320,200"
"08/08/2025","321.43","335.15","320.98","329.65","91,200,320"
"08/07/2025","319.79","322.4","316.16","322.27","66,658,670"
"08/06/2025","307.89","320.47","306.9345","319.91","78,523,580"
"08/05/2025","308.95","312.4499","305.5","308.72","57,961,280"
"08/04/2025","309.08","312.1186","303.0001","309.26","78,683,910"
"08/01/2025","306.205","309.31","297.82","302.63","89,121,450"
"07/31/2025","319.605","321.37","306.1","308.27","85,270,920"
"07/30/2025","322.18","324.4499","311.6164","319.04","83,931,940"
"07/29/2025","325.55","326.25","318.25","321.2","87,358,860"
"07/28/2025","318.45","330.49","315.69","325.59","112,673,800"
"07/25/2025","308.74","323.63","308.01","316.06","148,227,000"
"07/24/2025","310","310.15","300.41","305.3","156,966,000"
"07/23/2025","330.9","336.2","328.67","332.56","92,553,760"
"07/22/2025","329.74","335.4098","321.55","332.11","77,370,370"
"07/21/2025","334.4","338","326.88","328.49","75,768,800"
"07/18/2025","321.66","330.9","321.42","329.65","94,254,990"
"07/17/2025","323.15","324.34","317.0601","319.41","73,922,870"
"07/16/2025","312.8","323.5","312.62","321.67","97,284,790"
"07/15/2025","319.675","321.2","310.5","310.78","77,556,350"
"07/14/2025","317.73","322.5986","312.67","316.9","78,043,430"
"07/11/2025","307.89","314.09","305.65","313.51","79,236,440"
"07/10/2025","300.05","310.48","300","309.87","104,365,300"
"07/09/2025","297.55","300.15","293.55","295.88","75,586,770"
"07/08/2025","297","304.0499","294.35","297.81","103,246,700"
"07/07/2025","291.37","296.15","288.7701","293.94","131,177,900"
"07/03/2025","317.99","318.45","312.76","315.35","58,042,300"
"07/02/2025","312.63","316.832","303.82","315.65","119,483,700"
"07/01/2025","298.46","305.89","293.21","300.71","145,085,700"
"06/30/2025","319.9","325.5799","316.6","317.66","76,695,080"
"06/27/2025","324.51","329.3393","317.495","323.63","89,067,050"
"06/26/2025","324.61","331.05","323.61","325.78","80,440,910"
"06/25/2025","342.7","343","320.4","327.55","119,845,100"
"06/24/2025","356.17","356.26","340.44","340.47","114,736,200"
"06/23/2025","327.54","357.54","327.48","348.68","190,716,800"
"06/20/2025","327.95","332.36","317.78","322.16","108,688,000"
"06/18/2025","317.31","329.32","315.45","322.05","95,137,690"
"06/17/2025","326.09","327.26","314.74","316.35","88,282,670"
"06/16/2025","331.29","332.05","326.41","329.13","83,925,860"
"06/13/2025","313.97","332.99","313.3","325.31","128,964,300"
"06/12/2025","323.075","332.56","316.86","319.11","105,127,500"
"06/11/2025","334.395","335.5","322.5","326.43","122,611,400"
"06/10/2025","314.94","327.83","310.667","326.09","151,256,500"
"06/09/2025","285.955","309.83","281.85","308.58","140,908,900"
"06/06/2025","298.83","305.5","291.14","295.14","164,747,700"
"06/05/2025","322.49","324.5499","273.21","284.7","292,818,700"
"06/04/2025","345.095","345.6","327.3308","332.05","98,912,080"
"06/03/2025","346.595","355.4","343.04","344.27","99,324,540"
"06/02/2025","343.5","348.02","333.33","342.69","81,873,830"
"05/30/2025","355.52","363.68","345.29","346.46","123,474,900"
"05/29/2025","365.29","367.71","356","358.43","88,545,670"
"05/28/2025","364.84","365","355.91","356.9","91,404,310"
"05/27/2025","347.35","363.79","347.32","362.89","120,146,400"
"05/23/2025","337.92","343.18","333.21","339.34","84,654,820"
"05/22/2025","331.9","347.27","331.39","341.04","97,113,420"
"05/21/2025","344.43","347.35","332.2","334.62","102,354,800"
"05/20/2025","347.87","354.9899","341.63","343.82","131,715,500"
"05/19/2025","336.3","343","333.37","342.09","88,869,850"
"05/16/2025","346.24","351.62","342.33","349.98","95,895,670"
"05/15/2025","340.34","346.1393","334.7153","342.82","97,882,600"
"05/14/2025","342.5","350","337","347.68","136,997,300"
"05/13/2025","320","337.5894","316.8","334.07","136,992,600"
"05/12/2025","321.99","322.21","311.5","318.38","112,826,700"
"05/09/2025","290.21","307.04","290","298.26","132,387,800"
"05/08/2025","279.63","289.8","279.41","284.82","97,539,450"
"05/07/2025","276.88","277.92","271","276.22","71,882,410"
"05/06/2025","273.105","277.73","271.35","275.35","76,715,790"
"05/05/2025","284.57","284.849","274.4","280.26","94,618,880"
"05/02/2025","284.9","294.78","279.81","287.21","114,454,700"
"05/01/2025","280.01","290.8688","279.81","280.52","99,658,970"
"04/30/2025","279.9","284.45","270.78","282.16","128,961,100"
"04/29/2025","285.5","293.32","279.4695","292.03","108,906,600"
"04/28/2025","288.98","294.86","272.42","285.88","151,731,800"
"04/25/2025","261.69","286.85","259.63","284.95","167,560,700"
"04/24/2025","250.5","259.54","249.2","259.51","94,464,200"
"04/23/2025","254.86","259.4499","244.43","250.74","150,381,900"
