Entity,Code,Year,Working hours per worker
China,CHN,1970,1976.312
China,CHN,1971,1975.7937
China,CHN,1972,1975.5077
China,CHN,1973,1975.3647
China,CHN,1974,1975.1897
China,CHN,1975,1974.8975
China,CHN,1976,1974.2075
China,CHN,1977,1973.4353
China,CHN,1978,1972.7274
China,CHN,1979,1972.1038
China,CHN,1980,1971.4967
China,CHN,1981,1971.1016
China,CHN,1982,1970.7063
China,CHN,1983,1970.1927
China,CHN,1984,1969.7229
China,CHN,1985,1969.3905
China,CHN,1986,1970.4417
China,CHN,1987,1971.4633
China,CHN,1988,1972.6764
China,CHN,1989,1973.9873
China,CHN,1990,1975.354
China,CHN,1991,1976.8881
China,CHN,1992,1978.4229
China,CHN,1993,1981.6453
China,CHN,1994,1989.299
China,CHN,1995,2001.834
China,CHN,1996,2017.2646
China,CHN,1997,2037.3639
China,CHN,1998,2062.0522
China,CHN,1999,2082.0667
China,CHN,2000,2090.4753
China,CHN,2001,2103.5151
China,CHN,2002,2118.2014
China,CHN,2003,2138.0823
China,CHN,2004,2167.896
China,CHN,2005,2192.3545
China,CHN,2006,2183.0583
China,CHN,2007,2152.6501
China,CHN,2008,2131.5928
China,CHN,2009,2138.8518
China,CHN,2010,2172.7102
China,CHN,2011,2178.809
China,CHN,2012,2184.293
China,CHN,2013,2178.325
China,CHN,2014,2178.6626
China,CHN,2015,2170.4592
China,CHN,2016,2167.2278
China,CHN,2017,2168.919
China,CHN,2018,2168.919
China,CHN,2019,2168.919
United Kingdom,GBR,1870,2755
United Kingdom,GBR,1880,2740
United Kingdom,GBR,1890,2669
United Kingdom,GBR,1900,2656
United Kingdom,GBR,1913,2656
United Kingdom,GBR,1929,2257
United Kingdom,GBR,1938,2200
United Kingdom,GBR,1950,2183.9436
United Kingdom,GBR,1951,2192.6638
United Kingdom,GBR,1952,2160.8586
United Kingdom,GBR,1953,2164.7798
United Kingdom,GBR,1954,2168.931
United Kingdom,GBR,1955,2167.363
United Kingdom,GBR,1956,2153.7795
United Kingdom,GBR,1957,2132.2522
United Kingdom,GBR,1958,2102.4534
United Kingdom,GBR,1959,2112.238
United Kingdom,GBR,1960,2103.5837
United Kingdom,GBR,1961,2066.811
United Kingdom,GBR,1962,2029.0448
United Kingdom,GBR,1963,2020.5967
United Kingdom,GBR,1964,2020.8336
United Kingdom,GBR,1965,1997.568
United Kingdom,GBR,1966,1941.6097
United Kingdom,GBR,1967,1929.5275
United Kingdom,GBR,1968,1922.2015
United Kingdom,GBR,1969,1912.6047
United Kingdom,GBR,1970,1870.8944
United Kingdom,GBR,1971,1830.1425
United Kingdom,GBR,1972,1851.3665
United Kingdom,GBR,1973,1860.2523
United Kingdom,GBR,1974,1845.297
United Kingdom,GBR,1975,1814.0796
United Kingdom,GBR,1976,1807.0242
United Kingdom,GBR,1977,1816.9293
United Kingdom,GBR,1978,1818.0375
United Kingdom,GBR,1979,1815.493
United Kingdom,GBR,1980,1785.3964
United Kingdom,GBR,1981,1749.12
United Kingdom,GBR,1982,1745.4192
United Kingdom,GBR,1983,1739.5485
United Kingdom,GBR,1984,1745.7526
United Kingdom,GBR,1985,1748.0818
United Kingdom,GBR,1986,1742.7368
United Kingdom,GBR,1987,1747.5668
United Kingdom,GBR,1988,1754.7257
United Kingdom,GBR,1989,1758.5569
United Kingdom,GBR,1990,1745.9441
United Kingdom,GBR,1991,1720.5466
United Kingdom,GBR,1992,1714.3304
United Kingdom,GBR,1993,1710.316
United Kingdom,GBR,1994,1720.5905
United Kingdom,GBR,1995,1722.6252
United Kingdom,GBR,1996,1722.0925
United Kingdom,GBR,1997,1721.1954
United Kingdom,GBR,1998,1716.9994
United Kingdom,GBR,1999,1708.6104
United Kingdom,GBR,2000,1692.954
United Kingdom,GBR,2001,1695.9764
United Kingdom,GBR,2002,1678.5614
United Kingdom,GBR,2003,1669.3804
United Kingdom,GBR,2004,1666.7157
United Kingdom,GBR,2005,1669.7372
United Kingdom,GBR,2006,1663.9857
United Kingdom,GBR,2007,1665.8214
United Kingdom,GBR,2008,1660.4688
United Kingdom,GBR,2009,1638.3318
United Kingdom,GBR,2010,1643.2079
United Kingdom,GBR,2011,1639.8158
United Kingdom,GBR,2012,1655.019
United Kingdom,GBR,2013,1665.9749
United Kingdom,GBR,2014,1672.4341
United Kingdom,GBR,2015,1669.4652
United Kingdom,GBR,2016,1667.6989
United Kingdom,GBR,2017,1668.9491
United Kingdom,GBR,2018,1663.1888
United Kingdom,GBR,2019,1667.9478
